dB,dB_2,X_cm,Y_cm,Side,Position,Depth,Ambient,RMS,RMS_2,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
89,96,46.65063509,37.5,L,2,Top,TRUE,0.1753953096,0.3997448583,-55.46516097,0.001183673469,0.0012,0,0.001218,0.001242,0
100,93,85,0,R,6,Bottom,TRUE,0.5973755755,0.2568003084,-55.45883154,0.001320699708,0.001049275362,0,0.001359,0.001086,0
93,92,72.5,46.65063509,R,11,Bottom,TRUE,0.2738651598,0.2337677127,-55.44284531,0.001250728863,0.001136231884,1.93E-05,0.001287,0.001176,2.00E-05
97,95,0,25,L,9,Bottom,TRUE,0.4202435459,0.3489310027,-55.4243057,0.00131292517,0.001069565217,1.39E-05,0.001351,0.001107,1.44E-05
101,92,106.6506351,12.5,R,4,Bottom,TRUE,0.6723312634,0.2464297226,-55.42073458,0.001313896987,0.001069565217,0,0.001352,0.001107,0
92,97,97.5,46.65063509,R,1,Top,TRUE,0.2493337757,0.418079616,-55.40950938,0.001303206997,0.001085990338,0,0.001341,0.001124,0
124,92,110,25,R,3,Top,TRUE,9.793647507,0.2496691503,-55.38485772,0.001335276968,0.00105410628,0,0.001374,0.001091,0
91,91,3.349364905,37.5,L,10,Top,TRUE,0.2218581325,0.2245800549,-55.38169816,0.001263362488,0.001140096618,1.75E-05,0.0013,0.00118,1.81E-05
95,99,3.349364905,37.5,L,10,Bottom,TRUE,0.3496596577,0.5509137533,-55.33288406,0.001313896987,0.001096618357,7.10E-06,0.001352,0.001135,7.35E-06
89,96,55,25,M,17,Top,TRUE,0.1631407625,0.365024951,-55.32675126,0.001311953353,0.001099516908,5.41E-05,0.00135,0.001138,5.60E-05
104,100,12.5,3.349364905,L,7,Bottom,TRUE,0.9174214476,0.6180337293,-55.30302632,0.001333333333,0.00107826087,9.34E-05,0.001372,0.001116,9.67E-05
94,95,85,50,R,12,Top,TRUE,0.2948263807,0.3461259422,-55.27865471,0.001315840622,0.001107246377,9.12E-05,0.001354,0.001146,9.44E-05
97,93,3.349364905,12.5,L,8,Bottom,TRUE,0.4176662279,0.2729338635,-55.2122286,0.001352769679,0.001086956522,0,0.001392,0.001125,0
98,92,37.5,25,L,14,Top,TRUE,0.4586620201,0.2492833538,-55.18603538,0.001388726919,0.001049275362,1.17E-05,0.001429,0.001086,1.21E-05
94,100,12.5,46.65063509,L,11,Top,TRUE,0.2868294822,0.5730987547,-55.15989097,0.001376093294,0.001074396135,3.42E-06,0.001416,0.001112,3.54E-06
91,97,46.65063509,37.5,L,2,Bottom,TRUE,0.2178573124,0.4401309215,-55.11255396,0.001391642371,0.001069565217,2.71E-05,0.001432,0.001107,2.81E-05
101,95,25,0,L,6,Bottom,TRUE,0.6812843073,0.3441983783,-55.09286044,0.001388726919,0.001080193237,0,0.001429,0.001118,0
94,95,25,50,L,12,Bottom,TRUE,0.3020294775,0.3561641118,-55.00683165,0.0014101069,0.00108115942,0,0.001451,0.001119,0
98,94,106.6506351,37.5,R,2,Bottom,TRUE,0.4816522619,0.299520835,-54.97090628,0.001417881438,0.001083091787,7.58E-06,0.001459,0.001121,7.85E-06
101,94,12.5,46.65063509,L,11,Bottom,TRUE,0.681213151,0.3001929817,-54.95560283,0.001415937804,0.001090821256,0,0.001457,0.001129,0
100,93,63.34936491,37.5,R,10,Bottom,TRUE,0.5835158516,0.2619325196,-54.92542102,0.001310009718,0.001225120773,2.07E-06,0.001348,0.001268,2.14E-06
93,93,37.5,46.65063509,L,1,Bottom,TRUE,0.2794374515,0.2830730327,-54.85035656,0.001465500486,0.001060869565,1.52E-06,0.001508,0.001098,1.57E-06
96,89,72.5,3.349364905,R,7,Top,TRUE,0.3621482082,0.1715403206,-54.64888446,0.001518950437,0.001058937198,0,0.001563,0.001096,0
89,87,25,37.5,L,13,Top,TRUE,0.1689071037,0.1388696768,-54.54739769,0.00155393586,0.001046376812,0,0.001599,0.001083,0
99,93,85,50,R,12,Bottom,TRUE,0.5321644708,0.2601603421,-54.41193456,0.001497570457,0.001173913043,5.26E-06,0.001541,0.001215,5.44E-06
