"VID_ID","Day","Fish_ID","Sound","Speaker","TrainedWith","DistanceMoved_cm","Velocity","RightDistance_cm","LeftDistance_cm","NotMoving_per","Accel_mean","Accel_max","Accel_sd","TimeToRight_s","InRight_per","TimeToLeft_s","InLeft_per","HeadingToLeft_deg","HeadingToRight_deg"
"168","Day 3","9","Acclimation","Left","Air","4212.55","15.7727","89.1985","84.6222","0","1.02565","2202.5","180.129","23.958","44.3135","0","43.3426","-122.196","-142.131"
"170","Day 3","9","Acclimation","Right","Air","4143.85","15.242","52.3005","121.074","6.86546","4.91691","2950.71","204.642","0","81.9001","110.623","13.3148","1.0109","43.6969"
"172","Day 3","9","Acclimation","Left","Air","9527.17","41.9552","89.5018","89.5104","16.4355","-1.20205","3955.59","534.492","35.8328","48.1276","0","36.7545","176.539","-113.476"
"174","Day 3","11","Acclimation","Right","Air","3647.88","12.4538","69.2947","125.819","0.0693481","-0.102362","474.325","38.7558","0","74.1331","39.791","24.9653","-79.2041","-36.7163"
"176","Day 3","11","Acclimation","Left","Air","4164.85","16.0575","70.5817","153.017","0.346741","-3.89378","4490.85","214.23","4.99992","78.1553","0","16.5049","-178.649","-141.563"
"178","Day 3","11","Acclimation","Right","Air","3526.68","16.6454","92.833","100.943","2.14979","-4.53762","2035.91","176.006","1.87497","46.3939","21.8746","39.7365","-164.567","157.699"
"180","Day 3","10","Acclimation","Left","Air","3436.15","11.9781","92.3484","119.465","0","-0.057622","165.381","25.9336","45.2076","58.6685","0","37.9334","121.981","138.385"
"182","Day 3","10","Acclimation","Right","Air","3227.32","11.1449","57.6327","169.866","0.0693481","-0.0648787","3062.39","104.249","0","98.2663","138.748","0.0693481","-162.454","-151.046"
"184","Day 3","10","Acclimation","Left","Air","4061.95","14.7486","56.7207","154.691","8.11373","4.55892","3448.33","215.634","23.5413","86.061","0","9.362","118.784","100.39"
"186","Day 3","12","Acclimation","Left","Air","4293.67","15.5782","77.8482","106.335","3.05132","-2.43672","2731.02","182.797","8.95819","56.0333","0","37.1706","-26.3016","90.5629"
"188","Day 3","12","Acclimation","Right","Air","5319.34","19.6561","94.1447","83.3464","0.416089","-0.0293183","3438.81","208.286","0","42.8571","5.20825","51.4563","98.0381","114.136"
"190","Day 3","12","Acclimation","Left","Air","4364.46","17.5901","108.029","61.8929","2.21914","-0.902515","2886.13","210.406","18.5414","24.6879","0","62.2053","136.88","116.959"
"324","Day 3","18","Acclimation","Left","Air","2646.98","8.99839","80.8347","120.812","2.35784","0.0591921","231.983","25.5841","3.12495","68.2386","0","30.3745","97.7814","95.26"
"326","Day 3","18","Acclimation","Right","Air","2487.3","8.83734","61.9684","165.521","2.01669","0.0879753","179.056","30.5137","0","86.6481","271.037","9.24896","72.6592","91.0647"
"328","Day 3","18","Acclimation","Left","Air","1164.65","5.44874","53.2548","118.688","30.6333","0.0561905","293.562","22.3384","16.4581","74.0795","0","7.51105","169.387","129.731"
"330","Day 3","19","Acclimation","Right","Air","2679.38","8.9563","65.3826","146.107","0.138985","-0.0138757","166.115","17.8211","0","91.2439","62.0823","8.5476","-109.175","-112.191"
"332","Day 3","19","Acclimation","Left","Air","2544.8","9.71778","81.6174","135.432","1.66436","0.013177","240.362","31.4659","79.3737","67.337","0","23.7864","125.655","106.331"
"334","Day 3","19","Acclimation","Right","Air","3010.67","10.2347","55.8089","174.828","1.66436","0.00395582","3140.16","108.234","0","99.0985","158.122","0.0693481","91.8905","94.7326"
"336","Day 3","20","Acclimation","Left","Air","6312.7","21.3993","128.565","68.2523","1.24827","-1.65059","1468.72","172.406","30.6245","18.516","0","80.4438","149.618","93.8864"
"338","Day 3","20","Acclimation","Right","Air","7111.64","25.7245","168.838","61.5218","0","-0.967372","4263.86","290.948","0","3.05132","0.62499","92.7878","164.409","132.93"
"340","Day 3","20","Acclimation","Left","Air","5697.3","20.593","167.315","58.9872","0.970874","-0.792508","2314.08","205.78","","0","0","97.3648","138.739","94.6818"
"20","Day 3","1","Sound","Right","Air","5052.3","18.8378","42.8706","132.065","1.13318","9.01764","58870.8","1169.65","0","79.4561","3.24","10.252","75.2047","146.037"
"22","Day 3","1","Sound","Left","Air","4066.98","13.9109","134.055","55.7837","2.69297","-0.0632677","71578.7","2174.86","","0","0","97.5603","112.302","-107.683"
"24","Day 3","1","Sound","Right","Air","3043.93","11.5458","109.196","65.0935","18.6508","-0.0303429","73798.4","2635.35","0","2.69297","9.2","85.1753","24.8128","-77.1665"
"26","Day 3","2","Sound","Left","Air","3579.53","12.4445","140.676","58.0472","5.25263","0.149952","41746.6","743.332","248.6","9.61205","0","86.4285","70.4433","-61.0641"
"28","Day 3","2","Sound","Right","Air","1460.58","4.87121","45.054","125.983","35.6086","-0.105566","7506.54","246.952","0","100","","0","-9.9437","0.843275"
"30","Day 3","2","Sound","Left","Air","1368.03","4.78733","104.84","50.6039","38.6615","-0.0121051","4919.1","204.913","8.68","6.35915","0","89.0015","-178.153","16.9873"
"32","Day 3","3","Sound","Right","Air","45088.8","161.771","81.9475","109.653","12.3317","-36.2208","157645","17325","0","66.1645","2.52","29.7694","160.516","141.545"
