VID_ID,School_ID,Stopped_Sound_On_Return,Trained,Species,Trial,Days_Since_Train,Speaker,Date,Temp,Time,Frequency_Hz,Exit_s,Return_s,Angle,Exit_N,Return_N,Notes
277,14,TRUE,0 days,Silver,7,28,Right,3/28/2022,17.1,1230,Acclimation,26,13,224,NA,NA,
278,14,TRUE,0 days,Silver,7,28,Right,3/28/2022,17.1,1245,BB,6,17,278,NA,NA,
279,16,TRUE,0 days,Bighead,4,11,Right,3/28/2022,17.1,1245,Acclimation,25,49,274,NA,NA,
280,16,TRUE,0 days,Bighead,4,11,Right,3/28/2022,17.1,1300,BB,39,47,84,NA,NA,
281,17,TRUE,0 days,Bighead,4,11,Right,3/28/2022,16.9,1315,Acclimation,85,6,134,NA,NA,
282,17,TRUE,0 days,Bighead,4,11,Right,3/28/2022,16.9,1330,BB,116,43,47,NA,NA,
283,16,TRUE,0 days,Bighead,5,14,Left,3/31/2022,17.7,1130,Acclimation,43,43,306,NA,NA,
284,16,TRUE,0 days,Bighead,5,14,Left,3/31/2022,17.7,1145,BB,85,39,0,NA,NA,
285,17,TRUE,0 days,Bighead,5,14,Left,3/31/2022,17.6,1145,Acclimation,32,134,293,NA,NA,
286,17,TRUE,0 days,Bighead,5,14,Left,3/31/2022,17.6,1200,BB,5,127,309,NA,NA,"2 fish went back very quickly, while three hid behind opposite speaker for awhile"
287,18,TRUE,0 days,Bighead,5,14,Right,3/31/2022,17.4,215,Acclimation,18,20,75,NA,NA,
288,18,TRUE,0 days,Bighead,5,14,Right,3/31/2022,17.4,1230,BB,15,24,34,NA,NA,
289,18,TRUE,0 days,Bighead,6,21,Left,4/7/2022,17.9,1245,Acclimation,57,25,52,NA,NA,
290,18,TRUE,0 days,Bighead,6,21,Left,4/7/2022,17.9,1300,BB,34,54,198,NA,NA, one fish left after ~5 seconds but returned to school on sound side
291,16,TRUE,0 days,Bighead,6,21,Right,4/7/2022,17.8,1315,Acclimation,28,50,321,NA,NA,
292,16,TRUE,0 days,Bighead,6,21,Right,4/7/2022,17.8,1330,BB,24,126,58,NA,NA,"@ 72 seconds they deflected, @ start we had startle and freeze"
293,17,TRUE,0 days,Bighead,6,21,Right,4/7/2022,17.7,1345,Acclimation,35,17,103,NA,NA,
294,17,TRUE,0 days,Bighead,6,21,Right,4/7/2022,17.7,1400,BB,60,238,40,NA,NA,2:35  deflection
295,16,TRUE,0 days,Bighead,7,28,Left,4/14/2022,17.7,945,Acclimation,25,13,106,NA,NA,
296,16,TRUE,0 days,Bighead,7,28,Left,4/14/2022,17.7,1000,BB,43,52,4,NA,NA,2 fish returned much earlier than the rest of the school
297,17,TRUE,0 days,Bighead,7,28,Left,4/14/2022,17.8,1015,Acclimation,67,18,88,NA,NA,
298,17,TRUE,0 days,Bighead,7,28,Left,4/14/2022,17.8,1030,BB,34,19,132,NA,NA,
299,18,TRUE,0 days,Bighead,7,28,Right,4/14/2022,17.6,1045,Acclimation,30,32,97,NA,NA,
300,18,TRUE,0 days,Bighead,7,28,Right,4/14/2022,17.6,1100,BB,128,29,146,NA,NA,
301,20,TRUE,0 days,Bighead,1,1,Right,4/18/2022,17.9,1430,Acclimation,37,30,71,NA,NA,
302,20,TRUE,0 days,Bighead,1,1,Right,4/18/2022,17.9,1445,BB,13,121,117,NA,NA,really good avoidance of sound side
303,19,TRUE,0 days,Bighead,1,1,Right,4/18/2022,17.9,1500,Acclimation,100,131,220,NA,NA,
304,19,TRUE,0 days,Bighead,1,1,Right,4/18/2022,17.9,1515,BB,58,67,98,NA,NA,startle response
305,19,TRUE,0 days,Bighead,2,4,Left,4/21/2022,18.3,1245,Acclimation,94,41,42,NA,NA,
306,19,TRUE,0 days,Bighead,2,4,Left,4/21/2022,18.3,1300,BB,104,151,183,NA,NA,
307,20,TRUE,0 days,Bighead,2,4,Left,4/21/2022,17.9,1315,Acclimation,7,83,31,NA,NA,
308,20,TRUE,0 days,Bighead,2,4,Left,4/21/2022,17.9,1330,BB,153,93,73,NA,NA,2 returned around 3:30
309,20,TRUE,0 days,Bighead,3,7,Right,4/25/2022,18.2,1115,Acclimation,34,31,351,NA,NA,
310,20,TRUE,0 days,Bighead,3,7,Right,4/25/2022,18.2,1130,BB,35,25,185,NA,NA,
311,19,TRUE,0 days,Bighead,3,7,Right,4/25/2022,18.2,1145,Acclimation,53,42,116,NA,NA,
312,19,TRUE,0 days,Bighead,3,7,Right,4/25/2022,18.2,1200,BB,81,42,160,NA,NA,
313,19,TRUE,0 days,Bighead,4,11,Left,4/28/2022,17.3,1315,Acclimation,55,21,40,NA,NA,
314,19,TRUE,0 days,Bighead,4,11,Left,4/28/2022,17.3,1330,BB,Inf,8,87,NA,NA,had to loop sound twice
315,20,TRUE,0 days,Bighead,4,11,Left,4/28/2022,17.3,1400,Acclimation,71,37,318,NA,NA,
316,20,TRUE,0 days,Bighead,4,11,Left,4/28/2022,17.3,1415,BB,41,64,12,NA,NA,
317,19,TRUE,0 days,Bighead,5,14,Right,5/2/2022,17.9,1130,Acclimation,154,106,32,NA,NA,
318,19,TRUE,0 days,Bighead,5,14,Right,5/2/2022,17.9,1145,BB,36,96,67,NA,NA,
319,20,TRUE,0 days,Bighead,5,14,Right,5/2/2022,18.1,1200,Acclimation,50,46,13,NA,NA,
320,20,TRUE,0 days,Bighead,5,14,Right,5/2/2022,18.1,1215,BB,17,131,309,NA,NA,
321,19,TRUE,0 days,Bighead,6,21,Left,5/9/2022,20.1,1130,Acclimation,33,45,39,NA,NA,
322,19,TRUE,0 days,Bighead,6,21,Left,5/9/2022,20.1,1145,BB,12,31,341,NA,NA,
323,20,TRUE,0 days,Bighead,6,21,Left,5/9/2022,20.1,1200,Acclimation,122,46,205,NA,NA,Replaced 7.5 cm fish with 7.7 cm
324,20,TRUE,0 days,Bighead,6,21,Left,5/9/2022,20.1,1215,BB,69,33,33,NA,NA,Startled but stayed on speaker side
325,19,TRUE,0 days,Bighead,7,28,Right,5/16/2022,20.8,1115,Acclimation,17,80,150,NA,NA,
326,19,TRUE,0 days,Bighead,7,28,Right,5/16/2022,20.8,1130,BB,14,33,228,NA,NA,
327,20,TRUE,0 days,Bighead,7,28,Right,5/16/2022,20.8,1145,Acclimation,15,100,315,NA,NA,
328,20,TRUE,0 days,Bighead,7,28,Right,5/16/2022,20.8,1200,BB,19,93,238,NA,NA,
