dB_65_cm,RMS_65_cm,X_cm,Y_cm,Circle,Side,Position,Depth,Ambient,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
115,3.237703484,252.3160439,115.5,Outer,R,10,Middle,FALSE,-38.14486875,0.01057628766,0.006436714976,2.43E-05,0.010883,0.006662,2.52E-05
96,0.3620924009,319,38.5,Inner,R,6,Middle,TRUE,-38.34819734,0.01086880466,0.00530531401,3.39E-05,0.011184,0.005491,3.51E-05
100,0.6115998776,143.6839561,115.5,Outer,L,2,Bottom,TRUE,-50.18234202,0.002375121477,0.001981642512,1.44E-04,0.002444,0.002051,1.49E-04
115,3.214587964,252.3160439,38.5,Outer,R,8,Middle,FALSE,-38.93430771,0.01010495627,0.005069565217,2.57E-05,0.010398,0.005247,2.66E-05
114,3.060368968,252.3160439,38.5,Outer,R,8,Top,FALSE,-39.09028885,0.01036831876,0.003974879227,2.42E-05,0.010669,0.004114,2.50E-05
142,76.32969777,143.6839561,115.5,Outer,L,2,Bottom,FALSE,-20.34583065,0.09161127308,0.02899033816,0.001228985507,0.094268,0.030005,0.001272
117,4.455710432,385.6839561,115.5,Outer,R,2,Middle,FALSE,-39.23389579,0.008479105928,0.006884057971,7.91E-05,0.008725,0.007125,8.19E-05
121,6.746661636,319,77,Center,R,0,Bottom,FALSE,-39.27082702,0.00843148688,0.006869565217,2.71E-05,0.008676,0.00711,2.80E-05
104,0.9751415527,143.6839561,115.5,Outer,L,2,Middle,TRUE,-48.4714853,0.003015549077,0.002263768116,1.56E-05,0.003103,0.002343,1.61E-05
96,0.3989460309,110.341978,96.25,Inner,L,2,Middle,TRUE,-47.12599375,0.003616132167,0.002511111111,0,0.003721,0.002599,0
148,142.9942552,110.341978,96.25,Inner,L,2,Middle,FALSE,-9.347697045,0.3120048591,0.1373227053,0.001381642512,0.321053,0.142129,0.00143
114,2.944771476,357.5,143.6839561,Outer,R,1,Middle,FALSE,-39.43250546,0.009648202138,0.004568115942,6.11E-05,0.009928,0.004728,6.32E-05
116,3.796560878,385.6839561,115.5,Outer,R,2,Top,FALSE,-39.48183182,0.009406219631,0.00491884058,1.58E-05,0.009679,0.005091,1.64E-05
