dB_65_cm,RMS_65_cm,X_cm,Y_cm,Circle,Side,Position,Depth,Ambient,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
141,66.80983027,38.5,10.31604391,Outer,L,7,Bottom,FALSE,-23.82513057,0.05762487852,0.02866570048,0.001514009662,0.059296,0.029669,0.001567
109,1.725090962,285.658022,96.25,Inner,R,10,Top,FALSE,-44.64803119,0.005056365403,0.002953623188,4.00E-05,0.005203,0.003057,4.14E-05
96,0.3870250905,285.658022,57.75,Inner,R,8,Top,TRUE,-44.90425984,0.005017492711,0.002674396135,3.65E-06,0.005163,0.002768,3.78E-06
100,0.5808511657,38.5,10.31604391,Outer,L,7,Middle,TRUE,-50.64791893,0.002243926142,0.00189178744,0,0.002309,0.001958,0
101,0.6520562422,57.75,43.65802195,Inner,L,7,Middle,TRUE,-51.35226948,0.002044703596,0.00177294686,1.62E-05,0.002104,0.001835,1.68E-05
152,229.539029,57.75,43.65802195,Inner,L,7,Middle,FALSE,-9.909275485,0.2840816327,0.1463130435,0.001049275362,0.29232,0.151434,0.001086
110,1.887029796,352.341978,96.25,Inner,R,2,Top,FALSE,-44.91615101,0.004766763848,0.003084057971,7.61E-05,0.004905,0.003192,7.88E-05
104,1.008139318,319,154,Outer,R,12,Bottom,TRUE,-44.99792793,0.004888241011,0.002782608696,7.52E-06,0.00503,0.00288,7.78E-06
147,131.1101986,38.5,10.31604391,Outer,L,7,Middle,FALSE,-19.19431613,0.09913896987,0.04696135266,0.002117874396,0.102014,0.048605,0.002192
92,0.2378575327,352.341978,57.75,Inner,R,4,Top,TRUE,-45.35193624,0.003406219631,0.004190338164,0,0.003505,0.004337,0
106,1.146425621,280.5,143.6839561,Outer,R,11,Bottom,TRUE,-45.37586602,0.004914480078,0.002201932367,2.02E-05,0.005057,0.002279,2.09E-05
102,0.7597351423,38.5,10.31604391,Outer,L,7,Top,TRUE,-50.48528825,0.002283770651,0.001930434783,2.38E-05,0.00235,0.001998,2.46E-05
92,0.2526929256,57.75,43.65802195,Inner,L,7,Top,TRUE,-52.45197848,0.001770651118,0.001597101449,0,0.001822,0.001653,0
151,211.2765168,57.75,43.65802195,Inner,L,7,Top,FALSE,-13.22618883,0.2091185617,0.06199613527,0.001077294686,0.215183,0.064166,0.001115
114,3.163643005,352.341978,57.75,Inner,R,4,Bottom,FALSE,-45.55591111,0.004378036929,0.002942028986,2.40E-05,0.004505,0.003045,2.48E-05
116,3.977146875,352.341978,96.25,Inner,R,2,Bottom,FALSE,-45.57485683,0.004164237123,0.003218357488,5.92E-05,0.004285,0.003331,6.13E-05
142,73.69791733,38.5,10.31604391,Outer,L,7,Top,FALSE,-19.88732829,0.09802623907,0.02554492754,0.001069565217,0.100869,0.026439,0.001107
98,0.4532231536,43.65802195,57.75,Inner,L,8,Bottom,TRUE,-50.42451234,0.002369290573,0.001857971014,5.64E-05,0.002438,0.001923,5.84E-05
148,154.7542844,43.65802195,57.75,Inner,L,8,Bottom,FALSE,-13.64733654,0.1996637512,0.05754589372,0.001112077295,0.205454,0.05956,0.001151
98,0.472124648,319,0,Outer,R,6,Top,TRUE,-45.62526059,0.004510204082,0.002651207729,0.0001082125604,0.004641,0.002744,0.000112
94,0.3171934462,280.5,77,Inner,R,9,Top,TRUE,-45.64902347,0.002394557823,0.004636714976,1.01E-05,0.002464,0.004799,1.05E-05
102,0.7643141243,10.31604391,38.5,Outer,L,8,Bottom,TRUE,-49.50496609,0.002184645287,0.0025352657,8.43E-05,0.002248,0.002624,8.73E-05
113,2.739353257,319,115.5,Inner,R,12,Bottom,FALSE,-45.77539902,0.004081632653,0.003127536232,0.0001043478261,0.0042,0.003237,0.000108
114,3.12425447,385.6839561,115.5,Outer,R,2,Bottom,TRUE,-46.32867613,0.003969873664,0.002742995169,6.40E-05,0.004085,0.002839,6.62E-05
135,32.94659522,10.31604391,38.5,Outer,L,8,Bottom,FALSE,-25.35842431,0.05014965986,0.01989758454,0.0009333333333,0.051604,0.020594,0.000966
112,2.490240048,352.341978,96.25,Inner,R,2,Middle,FALSE,-46.51130258,0.003668610301,0.002977777778,5.62E-05,0.003775,0.003082,5.82E-05
96,0.3647100458,338.25,43.65802195,Inner,R,5,Middle,TRUE,-46.62980436,0.003300291545,0.00329178744,1.42E-05,0.003396,0.003407,1.47E-05
102,0.7754879399,10.31604391,38.5,Outer,L,8,Middle,TRUE,-51.28919927,0.002022351798,0.001828019324,0,0.002081,0.001892,0
97,0.4308029183,43.65802195,57.75,Inner,L,8,Middle,TRUE,-50.86906258,0.002213799806,0.001812560386,1.14E-05,0.002278,0.001876,1.18E-05
148,144.4628084,43.65802195,57.75,Inner,L,8,Middle,FALSE,-12.45857783,0.2296180758,0.06360386473,0.001771014493,0.236277,0.06583,0.001833
101,0.6642726942,338.25,43.65802195,Inner,R,5,Bottom,TRUE,-46.64818743,0.003906705539,0.002523671498,7.03E-05,0.00402,0.002612,7.28E-05
104,0.9448689043,280.5,143.6839561,Outer,R,11,Middle,TRUE,-46.82192392,0.003652089407,0.002729468599,2.25E-08,0.003758,0.002825,2.33E-08
140,60.72776861,10.31604391,38.5,Outer,L,8,Middle,FALSE,-21.32458584,0.07707482993,0.0378057971,0.001202898551,0.07931,0.039129,0.001245
104,0.9897317444,280.5,143.6839561,Outer,R,11,Top,TRUE,-47.29333347,0.003265306122,0.002826086957,2.20E-05,0.00336,0.002925,2.28E-05
94,0.2928475079,299.75,110.341978,Inner,R,11,Top,TRUE,-47.37940351,0.002873663751,0.003166183575,2.92E-05,0.002957,0.003277,3.02E-05
99,0.5431787915,10.31604391,38.5,Outer,L,8,Top,TRUE,-51.1524426,0.002066083576,0.001843478261,4.68E-05,0.002126,0.001908,4.84E-05
93,0.2825048001,43.65802195,57.75,Inner,L,8,Top,TRUE,-46.31302156,0.003372206025,0.003462801932,0.00009661835749,0.00347,0.003584,0.0001
149,168.2716576,43.65802195,57.75,Inner,L,8,Top,FALSE,-16.39221583,0.1438483965,0.04749951691,0.001099516908,0.14802,0.049162,0.001138
105,1.067213222,385.6839561,38.5,Outer,R,4,Top,TRUE,-47.39180832,0.003681243926,0.002163285024,2.30E-06,0.003788,0.002239,2.38E-06
98,0.505794609,252.3160439,38.5,Outer,R,8,Top,TRUE,-47.42276354,0.003838678328,0.001834782609,0,0.00395,0.001899,0
133,27.07515564,10.31604391,38.5,Outer,L,8,Top,FALSE,-23.18372428,0.06711856171,0.01728599034,0.0007516908213,0.069065,0.017891,0.000778
95,0.3328522833,38.5,77,Inner,L,9,Bottom,TRUE,-39.03907994,0.01086783285,0.002579710145,9.22E-06,0.011183,0.00267,9.54E-06
149,170.4409912,38.5,77,Inner,L,9,Bottom,FALSE,-17.06372163,0.1322623907,0.04655845411,0.0009884057971,0.136098,0.048188,0.001023
101,0.6615210846,357.5,10.31604391,Outer,R,5,Top,TRUE,-47.63961681,0.003259475219,0.002568115942,2.84E-05,0.003354,0.002658,2.94E-05
103,0.8061346998,385.6839561,115.5,Outer,R,2,Middle,TRUE,-47.78434178,0.003152575316,0.002591304348,4.71E-05,0.003244,0.002682,4.88E-05
101,0.6386063388,0,77,Outer,L,9,Bottom,TRUE,-49.09498724,0.002785228377,0.0021352657,6.27E-06,0.002866,0.00221,6.49E-06
98,0.4741994723,299.75,110.341978,Inner,R,11,Middle,TRUE,-47.81074098,0.003040816327,0.002703381643,6.21E-06,0.003129,0.002798,6.43E-06
100,0.5813105142,357.5,10.31604391,Outer,R,5,Bottom,TRUE,-47.86574994,0.0033595724,0.002249275362,2.33E-05,0.003457,0.002328,2.41E-05
134,31.32134889,0,77,Outer,L,9,Bottom,FALSE,-26.77399016,0.03438581147,0.03030917874,0.0009033816425,0.035383,0.03137,0.000935
101,0.6584687779,352.341978,96.25,Inner,R,2,Middle,TRUE,-47.88012649,0.003379008746,0.002207729469,2.68E-05,0.003477,0.002285,2.77E-05
99,0.5253233651,319,77,Center,R,0,Middle,TRUE,-47.98676148,0.003177842566,0.002406763285,7.83E-05,0.00327,0.002491,8.10E-05
101,0.6464923722,0,77,Outer,L,9,Middle,TRUE,-50.38314293,0.002690962099,0.001383574879,4.50E-06,0.002769,0.001432,4.66E-06
99,0.5476703322,38.5,77,Inner,L,9,Middle,TRUE,-50.51502858,0.002411078717,0.001751690821,0,0.002481,0.001813,0
150,184.1342469,38.5,77,Inner,L,9,Middle,FALSE,-12.07459135,0.2308697765,0.09337971014,0.0008222222222,0.237565,0.096648,0.000851
111,2.0961462,385.6839561,38.5,Outer,R,4,Bottom,TRUE,-47.9932847,0.003153547133,0.002434782609,2.08E-05,0.003245,0.00252,2.15E-05
101,0.6819783396,319,77,Center,R,0,Top,TRUE,-48.21600048,0.003008746356,0.002455072464,4.04E-06,0.003096,0.002541,4.18E-06
142,71.92327231,0,77,Outer,L,9,Middle,FALSE,-24.02380054,0.05830515063,0.02363091787,0.001184541063,0.059996,0.024458,0.001226
101,0.6976516753,357.5,77,Inner,R,3,Middle,TRUE,-48.23362028,0.003181729835,0.002212560386,8.15E-06,0.003274,0.00229,8.44E-06
103,0.8687582939,285.658022,96.25,Inner,R,10,Bottom,TRUE,-48.24265558,0.003206997085,0.002168115942,4.61E-05,0.0033,0.002244,4.77E-05
103,0.8274682437,0,77,Outer,L,9,Top,TRUE,-48.9402455,0.002983479106,0.001965217391,2.10E-05,0.00307,0.002034,2.17E-05
98,0.4615007435,38.5,77,Inner,L,9,Top,TRUE,-51.75424946,0.00209718173,0.001509178744,3.33E-05,0.002158,0.001562,3.45E-05
150,195.7415755,38.5,77,Inner,L,9,Top,FALSE,-15.47293213,0.1585821186,0.05666956522,0.0005555555556,0.163181,0.058653,0.000575
103,0.8937477343,319,0,Outer,R,6,Bottom,TRUE,-48.47073832,0.003142857143,0.002084057971,4.63E-06,0.003234,0.002157,4.79E-06
103,0.8983536852,357.5,77,Inner,R,3,Bottom,TRUE,-48.50853007,0.002781341108,0.00252173913,5.13E-05,0.002862,0.00261,5.31E-05
130,20.00893258,0,77,Outer,L,9,Top,FALSE,-24.06753642,0.06149757046,0.01170531401,0.0008222222222,0.063281,0.012115,0.000851
102,0.8032153623,43.65802195,96.25,Inner,L,10,Bottom,TRUE,-37.72292184,0.01267638484,0.002869565217,7.26E-05,0.013044,0.00297,7.51E-05
150,187.2565105,43.65802195,96.25,Inner,L,10,Bottom,FALSE,-15.2618079,0.1572779397,0.07096135266,0.0009507246377,0.161839,0.073445,0.000984
102,0.7720128391,385.6839561,38.5,Outer,R,4,Middle,TRUE,-48.52671986,0.002951409135,0.00230821256,8.67E-06,0.003037,0.002389,8.97E-06
103,0.8165528093,252.3160439,38.5,Outer,R,8,Middle,TRUE,-48.53070825,0.00306122449,0.002157487923,0,0.00315,0.002233,0
105,1.122402254,10.31604391,115.5,Outer,L,10,Bottom,TRUE,-35.89907117,0.01447230321,0.006902415459,6.05E-05,0.014892,0.007144,6.26E-05
100,0.6024217864,357.5,10.31604391,Outer,R,5,Middle,TRUE,-48.53299996,0.002876579203,0.002396135266,4.77E-05,0.00296,0.00248,4.94E-05
97,0.4472277452,352.341978,57.75,Inner,R,4,Middle,TRUE,-48.78409497,0.003038872692,0.001999033816,7.11E-06,0.003127,0.002069,7.36E-06
131,21.85589765,10.31604391,115.5,Outer,L,10,Bottom,FALSE,-25.31113513,0.04578328474,0.02909661836,0.0009642512077,0.047111,0.030115,0.000998
101,0.7114791506,252.3160439,38.5,Outer,R,8,Bottom,TRUE,-48.86786423,0.002975704568,0.002029951691,5.15E-05,0.003062,0.002101,5.33E-05
109,1.76147344,319,77,Center,R,0,Bottom,TRUE,-48.96718913,0.002509232264,0.002527536232,6.32E-06,0.002582,0.002616,6.54E-06
101,0.6439046338,10.31604391,115.5,Outer,L,10,Middle,TRUE,-50.11144702,0.002611273081,0.001711111111,1.57E-07,0.002687,0.001771,1.62E-07
98,0.4687957026,43.65802195,96.25,Inner,L,10,Middle,TRUE,-44.80198107,0.005397473275,0.001991304348,2.71E-09,0.005554,0.002061,2.80E-09
150,200.481889,43.65802195,96.25,Inner,L,10,Middle,FALSE,-12.01005884,0.2212730807,0.1182676329,0.0008695652174,0.22769,0.122407,0.0009
102,0.7618805347,285.658022,57.75,Inner,R,8,Bottom,TRUE,-49.05312352,0.002702623907,0.0022647343,5.48E-05,0.002781,0.002344,5.67E-05
99,0.5081976512,319,115.5,Inner,R,12,Middle,TRUE,-49.08283893,0.002789115646,0.002138164251,2.20E-05,0.00287,0.002213,2.28E-05
134,31.5968322,10.31604391,115.5,Outer,L,10,Middle,FALSE,-24.36481404,0.0485335277,0.03610048309,0.001252173913,0.049941,0.037364,0.001296
103,0.8100517546,352.341978,96.25,Inner,R,2,Top,TRUE,-49.27027592,0.002887269193,0.001868599034,4.10E-05,0.002971,0.001934,4.24E-05
102,0.7245148952,352.341978,57.75,Inner,R,4,Bottom,TRUE,-49.30911838,0.00271234208,0.002089855072,6.30E-06,0.002791,0.002163,6.52E-06
99,0.554890801,10.31604391,115.5,Outer,L,10,Top,TRUE,-51.24887293,0.002288629738,0.001504347826,0,0.002355,0.001557,0
93,0.276041091,43.65802195,96.25,Inner,L,10,Top,TRUE,-47.67064738,0.003735665695,0.001770048309,0.00009661835749,0.003844,0.001832,0.0001
150,180.8380754,43.65802195,96.25,Inner,L,10,Top,FALSE,-16.65708922,0.1250806608,0.07711400966,0.0004106280193,0.128708,0.079813,0.000425
105,1.131194111,338.25,110.341978,Inner,R,1,Bottom,TRUE,-49.31383845,0.002823129252,0.001934299517,4.96E-06,0.002905,0.002002,5.13E-06
102,0.7902500486,280.5,77,Inner,R,9,Bottom,TRUE,-49.34644322,0.002864917396,0.001848309179,1.88E-06,0.002948,0.001913,1.95E-06
136,37.20853211,10.31604391,115.5,Outer,L,10,Top,FALSE,-21.91910575,0.05937026239,0.05388115942,0.0004396135266,0.061092,0.055767,0.000455
96,0.3757514448,57.75,110.341978,Inner,L,11,Bottom,TRUE,-47.54835616,0.003515063168,0.002286956522,7.22E-06,0.003617,0.002367,7.47E-06
153,271.2643001,57.75,110.341978,Inner,L,11,Bottom,FALSE,-14.73243634,0.1581516035,0.09284347826,0.0006657004831,0.162738,0.096093,0.000689
99,0.5361283254,299.75,43.65802195,Inner,R,7,Middle,TRUE,-49.37442387,0.002899902818,0.001771980676,0,0.002984,0.001834,0
102,0.7227602245,242,77,Outer,R,9,Middle,TRUE,-49.47345809,0.002847424684,0.001783574879,0,0.00293,0.001846,0
106,1.25193694,38.5,143.6839561,Outer,L,11,Bottom,TRUE,-47.66993877,0.003605442177,0.002025120773,8.17E-06,0.00371,0.002096,8.46E-06
96,0.4016580845,338.25,110.341978,Inner,R,1,Top,TRUE,-49.51001496,0.002344023324,0.002387439614,5.20E-06,0.002412,0.002471,5.38E-06
103,0.815690477,280.5,10.31604391,Outer,R,7,Bottom,TRUE,-49.51563598,0.002703595724,0.001967149758,2.74E-05,0.002782,0.002036,2.84E-05
134,28.840592,38.5,143.6839561,Outer,L,11,Bottom,FALSE,-20.17130847,0.05267444121,0.08268599034,0.001286956522,0.054202,0.08558,0.001332
100,0.5706839747,299.75,110.341978,Inner,R,11,Bottom,TRUE,-49.54425576,0.002728862974,0.001913043478,0,0.002808,0.00198,0
104,0.9452708947,242,77,Outer,R,9,Bottom,TRUE,-49.55431721,0.002758017493,0.001863768116,2.09E-05,0.002838,0.001929,2.16E-05
107,1.284918178,38.5,143.6839561,Outer,L,11,Middle,TRUE,-46.83572738,0.003915451895,0.002319806763,0.00009758454106,0.004029,0.002401,0.000101
94,0.3029106012,57.75,110.341978,Inner,L,11,Middle,TRUE,-38.37516495,0.01023323615,0.006375845411,4.89E-05,0.01053,0.006599,5.06E-05
155,355.5839205,57.75,110.341978,Inner,L,11,Middle,FALSE,-10.99874114,0.2363304179,0.1536338164,0.0006599033816,0.243184,0.159011,0.000683
101,0.6849358458,319,0,Outer,R,6,Middle,TRUE,-49.57394789,0.002562682216,0.002112077295,5.04E-05,0.002637,0.002186,5.22E-05
97,0.4294415624,280.5,77,Inner,R,9,Middle,TRUE,-49.79059895,0.002555879495,0.001990338164,3.30E-06,0.00263,0.00206,3.42E-06
138,45.8520604,38.5,143.6839561,Outer,L,11,Middle,FALSE,-17.50084345,0.0744382896,0.1106125604,0.00177294686,0.076597,0.114484,0.001835
103,0.8888596333,396,77,Outer,R,3,Bottom,TRUE,-49.8815597,0.002444120505,0.002073429952,6.03E-05,0.002515,0.002146,6.24E-05
94,0.2953629598,319,38.5,Inner,R,6,Top,TRUE,-49.9062054,0.002204081633,0.002314975845,3.51E-05,0.002268,0.002396,3.63E-05
102,0.7747355663,38.5,143.6839561,Outer,L,11,Top,TRUE,-44.36043985,0.005376093294,0.002781642512,1.15E-05,0.005532,0.002879,1.19E-05
95,0.3478309299,57.75,110.341978,Inner,L,11,Top,TRUE,-39.95525229,0.009684159378,0.002692753623,4.26E-05,0.009965,0.002787,4.41E-05
152,237.6883576,57.75,110.341978,Inner,L,11,Top,FALSE,-15.22668231,0.1500515063,0.08659613527,0.0004473429952,0.154403,0.089627,0.000463
96,0.3828103426,285.658022,57.75,Inner,R,8,Middle,TRUE,-50.081219,0.002408163265,0.002003864734,0,0.002478,0.002074,0
102,0.7706656263,280.5,10.31604391,Outer,R,7,Top,TRUE,-50.15833661,0.002531584062,0.001798067633,4.17E-06,0.002605,0.001861,4.32E-06
138,45.94344886,38.5,143.6839561,Outer,L,11,Top,FALSE,-21.46925055,0.06161030126,0.05773333333,0.000890821256,0.063397,0.059754,0.000922
96,0.3842202087,77,115.5,Inner,L,12,Bottom,TRUE,-50.4480342,0.00209718173,0.00214589372,0.000129468599,0.002158,0.002221,0.000134
152,252.6932785,77,115.5,Inner,L,12,Bottom,FALSE,-15.11021971,0.1611865889,0.06963381643,0.0005787439614,0.165861,0.072071,0.000599
97,0.4056486386,299.75,43.65802195,Inner,R,7,Top,TRUE,-50.35725781,0.002098153547,0.002191304348,7.90E-05,0.002159,0.002268,8.18E-05
109,1.625413756,352.341978,96.25,Inner,R,2,Bottom,TRUE,-50.38432441,0.002342079689,0.001914975845,2.48E-05,0.00241,0.001982,2.57E-05
105,1.015596899,77,154,Outer,L,12,Bottom,TRUE,-36.35746994,0.006988338192,0.01350917874,8.02E-05,0.007191,0.013982,8.30E-05
100,0.6003536401,319,38.5,Inner,R,6,Bottom,TRUE,-50.41043484,0.002274052478,0.001981642512,0,0.00234,0.002051,0
101,0.7095187267,280.5,10.31604391,Outer,R,7,Middle,TRUE,-50.43175303,0.002445092323,0.001753623188,0,0.002516,0.001815,0
144,91.01596772,77,154,Outer,L,12,Bottom,FALSE,-20.23425645,0.05617784257,0.07948019324,0.001357487923,0.057807,0.082262,0.001405
99,0.5481717088,285.658022,96.25,Inner,R,10,Middle,TRUE,-50.52236441,0.002328474247,0.001856038647,7.73E-06,0.002396,0.001921,8.00E-06
99,0.5339946462,319,115.5,Inner,R,12,Bottom,TRUE,-50.52699302,0.002113702624,0.002093719807,7.67E-05,0.002175,0.002167,7.94E-05
100,0.6173306453,77,154,Outer,L,12,Middle,TRUE,-39.86493299,0.008450923226,0.005633816425,3.01E-05,0.008696,0.005831,3.12E-05
103,0.8826124489,77,115.5,Inner,L,12,Middle,TRUE,-45.81081745,0.00451797862,0.00241352657,2.27E-06,0.004649,0.002498,2.35E-06
155,345.9717747,77,115.5,Inner,L,12,Middle,FALSE,-10.66230947,0.2756054422,0.09948019324,0.001007729469,0.283598,0.102962,0.001043
114,2.871100733,396,77,Outer,R,3,Top,TRUE,-50.64657014,0.002455782313,0.001607729469,3.29E-05,0.002527,0.001664,3.40E-05
99,0.5430829863,242,77,Outer,R,9,Top,TRUE,-50.71112678,0.002436345967,0.001598067633,0,0.002507,0.001654,0
146,117.5778245,77,154,Outer,L,12,Middle,FALSE,-15.12424802,0.1474936832,0.09472270531,0.002028985507,0.151771,0.098038,0.0021
102,0.7568496806,319,154,Outer,R,12,Top,TRUE,-50.88112925,0.002388726919,0.001567149758,4.15E-05,0.002458,0.001622,4.30E-05
103,0.8720059356,396,77,Outer,R,3,Middle,TRUE,-51.04420387,0.002227405248,0.001703381643,0,0.002292,0.001763,0
103,0.8620044787,77,154,Outer,L,12,Top,TRUE,-20.10940849,0.08009329446,0.05776038647,0.0001623188406,0.082416,0.059782,0.000168
95,0.3422073808,77,115.5,Inner,L,12,Top,TRUE,-48.83206622,0.00220505345,0.00286763285,3.63E-06,0.002269,0.002968,3.76E-06
152,237.0230324,77,115.5,Inner,L,12,Top,FALSE,-14.47366658,0.1687376093,0.08499516908,0.0007574879227,0.173631,0.08797,0.000784
95,0.3225917741,285.658022,96.25,Inner,R,10,Top,TRUE,-52.22748897,0.001887269193,0.001557487923,4.82E-06,0.001942,0.001612,4.99E-06
102,0.7618202459,357.5,143.6839561,Outer,R,1,Top,TRUE,-52.25375596,0.002014577259,0.001375845411,0,0.002073,0.001424,0
137,43.2263158,77,154,Outer,L,12,Top,FALSE,-18.35760558,0.09323809524,0.07682898551,0.0003903381643,0.095942,0.079518,0.000404
140,62.83149502,164,77,Shuttle,M,16,Bottom,FALSE,-51.10343966,0.002183673469,0.001728502415,1.32E-05,0.002247,0.001789,1.37E-05
106,1.235909098,164,77,Shuttle,M,16,Bottom,TRUE,-21.94280098,0.06813313897,0.04184541063,0.0002463768116,0.070109,0.04331,0.000255
150,185.897152,164,77,Shuttle,M,16,Middle,FALSE,-49.76511042,0.002470359572,0.002110144928,1.89E-05,0.002542,0.002184,1.96E-05
105,1.094241997,164,77,Shuttle,M,16,Middle,TRUE,-20.12009425,0.06940330418,0.07007342995,0.0003961352657,0.071416,0.072526,0.00041
144,90.40818059,164,77,Shuttle,M,16,Top,FALSE,-45.80393284,0.002450923226,0.004501449275,9.38E-05,0.002522,0.004659,9.71E-05
90,0.1937262842,164,77,Shuttle,M,16,Top,TRUE,-19.07127033,0.1019650146,0.04458067633,0.0002048309179,0.104922,0.046141,0.000212
101,0.6831685499,198,77,Shuttle,M,17,Bottom,TRUE,-50.18241604,0.002361516035,0.001999033816,0.0001256038647,0.00243,0.002069,0.00013
129,16.379284,198,77,Shuttle,M,17,Bottom,FALSE,-32.38343704,0.02203692906,0.009591304348,0.0001391304348,0.022676,0.009927,0.000144
133,26.27969031,198,77,Shuttle,M,17,Middle,FALSE,-50.29715092,0.002548104956,0.001686956522,2.49E-06,0.002622,0.001746,2.58E-06
96,0.3894702104,198,77,Shuttle,M,17,Middle,TRUE,-30.6266405,0.02649368319,0.01279323671,0.0002347826087,0.027262,0.013241,0.000243
128,14.46799999,198,77,Shuttle,M,17,Top,FALSE,-52.78600417,0.001882410107,0.001312077295,0,0.001937,0.001358,0
96,0.3884010625,198,77,Shuttle,M,17,Top,TRUE,-30.78076271,0.02767249757,0.008346859903,0.0001381642512,0.028475,0.008639,0.000143
118,4.588953562,232,77,Shuttle,M,18,Bottom,FALSE,-48.88695647,0.002876579203,0.002155555556,1.08E-05,0.00296,0.002231,1.12E-05
98,0.4811714669,232,77,Shuttle,M,18,Bottom,TRUE,-42.56290761,0.005779397473,0.004692753623,4.56E-05,0.005947,0.004857,4.72E-05
104,0.9564536187,232,77,Shuttle,M,18,Middle,TRUE,-48.56762633,0.003137026239,0.002016425121,1.49E-05,0.003228,0.002087,1.54E-05
117,4.056624204,232,77,Shuttle,M,18,Middle,FALSE,-38.35398446,0.01022546161,0.006443478261,7.18E-05,0.010522,0.006669,7.43E-05
118,4.687176237,232,77,Shuttle,M,18,Top,FALSE,-29.62069151,0.0297473275,0.01436521739,6.00E-05,0.03061,0.014868,6.21E-05
99,0.5185950742,232,77,Shuttle,M,18,Top,TRUE,-40.42740902,0.008827016521,0.003565217391,1.78E-05,0.009083,0.00369,1.84E-05
